CST-IBS/CBS;Descrição CST-IBS/CBS;cClassTrib;Nome cClassTrib;Descrição cClassTrib;LC Redação;LC 214/25;Tipo de Alíquota;pRedIBS;pRedCBS;ind_gTribRegular;ind_gCredPresOper;ind_gMonoPadrao;ind_gMonoReten;ind_gMonoRet;ind_gMonoDif;ind_gEstornoCred;dIniVig;dFimVig;DataAtualização;indNFeABI;indNFe;indNFCe;indCTe;indCTeOS;indBPe;indBPeTA;indBPeTM;indNF3e;indNFSe;indNFSe Via;indNFCom;indNFAg;indNFGas;indDERE;ANEXO;Link
000;Tributação integral;000001;Situações tributadas integralmente pelo IBS e CBS.;Situações tributadas integralmente pelo IBS e CBS.;;;Padrão;0;0;0;0;0;0;0;0;0;01/01/2026;;19/11/2025;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art4
000;Tributação integral;000002;Exploração de via;Exploração de via, observado o art. 11 da Lei Complementar nº 214, de 2025.;"Art. 11. Considera-se local da operação com:
VIII - serviço de exploração de via, mediante cobrança de valor a qualquer título, incluindo tarifas, pedágios e quaisquer outras formas de cobrança, o território de cada Município e Estado, ou do Distrito Federal, proporcionalmente à correspondente extensão da via explorada";Art. 11, VIII;Padrão;0;0;0;0;0;0;0;0;0;01/01/2026;;19/11/2025;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art11
000;Tributação integral;000003;Regime automotivo - projetos incentivados (art. 311);Regime automotivo - projetos incentivados, observado o art. 311 da Lei Complementar nº 214, de 2025.;Art. 311. Em relação aos projetos habilitados à fruição dos benefícios estabelecidos pelo art. 11-C da Lei nº 9.440, de 14 de março de 1997, o crédito presumido de que trata o art. 309 desta Lei Complementar será calculado mediante a aplicação dos seguintes percentuais sobre o valor das vendas no mercado interno, em cada mês, dos produtos constantes nos projetos de que trata o art. 309, fabricados ou montados nos estabelecimentos incentivados:;Art. 311;Padrão;0;0;0;1;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art311
000;Tributação integral;000004;Regime automotivo - projetos incentivados (art. 312);Regime automotivo - projetos incentivados, observado o art. 312 da Lei Complementar nº 214, de 2025.;Art. 312. Em relação aos projetos habilitados à fruição dos benefícios estabelecidos pelos arts. 1º a 4º da Lei nº 9.826, de 23 de agosto de 1999, o crédito presumido de que trata o art. 309 desta Lei Complementar corresponderá ao produto da multiplicação dos seguintes fatores:;Art. 312;Padrão;0;0;0;1;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art312
010;Tributação com alíquotas uniformes - operações do FGTS;010001;Operações do FGTS não realizadas pela Caixa Econômica Federal;Operações do FGTS não realizadas pela Caixa Econômica Federal, observado o art. 212 da Lei Complementar nº 214, de 2025.;"Art. 212. As operações relacionadas ao Fundo de Garantia do Tempo de Serviço (FGTS) ficam sujeitas à incidência do IBS e da CBS, por alíquota nacionalmente uniforme, a ser fixada de modo a manter a carga tributária incidente sobre essas operações.
 § 3º Ficam sujeitas:
 II - às alíquotas necessárias para manter a carga tributária, as operações previstas nos incisos II e III do § 2º deste artigo.";Art. 212;Uniforme setorial;0;0;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art212
010;Tributação com alíquotas uniformes - operações setor financeiro;010002;Operações do serviço financeiro;Operações do serviço financeiro;Art. 233. De 2027 a 2033, as alíquotas do IBS e da CBS incidentes sobre os serviços financeiros de que trata o art. 189 desta Lei Complementar serão fixadas de modo a manter a carga tributária incidente sobre as operações de crédito das instituições financeiras bancárias.;Art. 233;Uniforme setorial;0;0;0;0;0;0;0;0;0;01/01/2026;;19/11/2025;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art233
011;Tributação com alíquotas uniformes reduzidas em 60%;011001;Planos de assistência funerária.;Planos de assistência funerária, observado o art. 236 da Lei Complementar nº 214, de 2025.;Art. 236. Os planos de assistência funerária ficam sujeitos ao disposto nos arts. 234 a 242 desta Lei Complementar.;Art. 236;Uniforme nacional (referência);60;60;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art236
011;Tributação com alíquotas uniformes reduzidas em 60%;011002;Planos de assistência à saúde;Planos de assistência à saúde, observado o art. 237 da Lei Complementar nº 214, de 2025.;Art. 237. As alíquotas de IBS e de CBS no regime específico de planos de assistência à saúde são nacionalmente uniformes e correspondem às alíquotas de referência de cada esfera federativa, reduzidas em 60% (sessenta por cento).;Art. 237;Uniforme nacional (referência);60;60;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art237
011;Tributação com alíquotas uniformes reduzidas em 60%;011003;Intermediação de planos de assistência à saúde;Intermediação de planos de assistência à saúde, observado o art. 240 da Lei Complementar nº 214, de 2025.;Art. 240. Os serviços de intermediação de planos de assistência à saúde ficam sujeitos à incidência do IBS e da CBS sobre o valor da operação pela mesma alíquota aplicável ao plano de assistência à saúde.;Art. 240;Uniforme nacional (referência);60;60;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art240
011;Tributação com alíquotas uniformes;011004;Concursos e prognósticos;Concursos e prognósticos, observado o art. 246 da Lei Complementar nº 214, de 2025.;Art. 246. As alíquotas do IBS e da CBS sobre concursos de prognósticos são nacionalmente uniformes e correspondem à soma das alíquotas de referência das esferas federativas.;Art. 246;Uniforme nacional (referência);0;0;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art246
