CST-IBS/CBS;Descriá∆o CST-IBS/CBS;cClassTrib;Nome cClassTrib;Descriá∆o cClassTrib;LC Redaá∆o;LC 214/25;Tipo de Al°quota;pRedIBS;pRedCBS;ind_gTribRegular;ind_gCredPresOper;ind_gMonoPadrao;ind_gMonoReten;ind_gMonoRet;ind_gMonoDif;ind_gEstornoCred;dIniVig;dFimVig;DataAtualizaá∆o;indNFeABI;indNFe;indNFCe;indCTe;indCTeOS;indBPe;indBPeTA;indBPeTM;indNF3e;indNFSe;indNFSe Via;indNFCom;indNFAg;indNFGas;indDERE;ANEXO;Link
000;Tributaá∆o integral;000001;Situaá‰es tributadas integralmente pelo IBS e CBS.;Situaá‰es tributadas integralmente pelo IBS e CBS.;;;Padr∆o;0;0;0;0;0;0;0;0;0;01/01/2026;;19/11/2025;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art4
000;Tributaá∆o integral;000002;Exploraá∆o de via;Exploraá∆o de via, observado o art. 11 da Lei Complementar nß 214, de 2025.;"Art. 11. Considera-se local da operaá∆o com:
VIII - serviáo de exploraá∆o de via, mediante cobranáa de valor a qualquer t°tulo, incluindo tarifas, ped†gios e quaisquer outras formas de cobranáa, o territ¢rio de cada Munic°pio e Estado, ou do Distrito Federal, proporcionalmente Ö correspondente extens∆o da via explorada";Art. 11, VIII;Padr∆o;0;0;0;0;0;0;0;0;0;01/01/2026;;19/11/2025;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art11
000;Tributaá∆o integral;000003;Regime automotivo - projetos incentivados (art. 311);Regime automotivo - projetos incentivados, observado o art. 311 da Lei Complementar nß 214, de 2025.;Art. 311. Em relaá∆o aos projetos habilitados Ö fruiá∆o dos benef°cios estabelecidos pelo art. 11-C da Lei nß 9.440, de 14 de maráo de 1997, o crÇdito presumido de que trata o art. 309 desta Lei Complementar ser† calculado mediante a aplicaá∆o dos seguintes percentuais sobre o valor das vendas no mercado interno, em cada màs, dos produtos constantes nos projetos de que trata o art. 309, fabricados ou montados nos estabelecimentos incentivados:;Art. 311;Padr∆o;0;0;0;1;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art311
000;Tributaá∆o integral;000004;Regime automotivo - projetos incentivados (art. 312);Regime automotivo - projetos incentivados, observado o art. 312 da Lei Complementar nß 214, de 2025.;Art. 312. Em relaá∆o aos projetos habilitados Ö fruiá∆o dos benef°cios estabelecidos pelos arts. 1ß a 4ß da Lei nß 9.826, de 23 de agosto de 1999, o crÇdito presumido de que trata o art. 309 desta Lei Complementar corresponder† ao produto da multiplicaá∆o dos seguintes fatores:;Art. 312;Padr∆o;0;0;0;1;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art312
010;Tributaá∆o com al°quotas uniformes - operaá‰es do FGTS;010001;Operaá‰es do FGTS n∆o realizadas pela Caixa Econìmica Federal;Operaá‰es do FGTS n∆o realizadas pela Caixa Econìmica Federal, observado o art. 212 da Lei Complementar nß 214, de 2025.;"Art. 212. As operaá‰es relacionadas ao Fundo de Garantia do Tempo de Serviáo (FGTS) ficam sujeitas Ö incidància do IBS e da CBS, por al°quota nacionalmente uniforme, a ser fixada de modo a manter a carga tribut†ria incidente sobre essas operaá‰es.
 ı 3ß Ficam sujeitas:
 II - Ös al°quotas necess†rias para manter a carga tribut†ria, as operaá‰es previstas nos incisos II e III do ı 2ß deste artigo.";Art. 212;Uniforme setorial;0;0;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art212
010;Tributaá∆o com al°quotas uniformes - operaá‰es setor financeiro;010002;Operaá‰es do serviáo financeiro;Operaá‰es do serviáo financeiro;Art. 233. De 2027 a 2033, as al°quotas do IBS e da CBS incidentes sobre os serviáos financeiros de que trata o art. 189 desta Lei Complementar ser∆o fixadas de modo a manter a carga tribut†ria incidente sobre as operaá‰es de crÇdito das instituiá‰es financeiras banc†rias.;Art. 233;Uniforme setorial;0;0;0;0;0;0;0;0;0;01/01/2026;;19/11/2025;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art233
011;Tributaá∆o com al°quotas uniformes reduzidas em 60%;011001;Planos de assistància funer†ria.;Planos de assistància funer†ria, observado o art. 236 da Lei Complementar nß 214, de 2025.;Art. 236. Os planos de assistància funer†ria ficam sujeitos ao disposto nos arts. 234 a 242 desta Lei Complementar.;Art. 236;Uniforme nacional (referància);60;60;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art236
011;Tributaá∆o com al°quotas uniformes reduzidas em 60%;011002;Planos de assistància Ö sa£de;Planos de assistància Ö sa£de, observado o art. 237 da Lei Complementar nß 214, de 2025.;Art. 237. As al°quotas de IBS e de CBS no regime espec°fico de planos de assistància Ö sa£de s∆o nacionalmente uniformes e correspondem Ös al°quotas de referància de cada esfera federativa, reduzidas em 60% (sessenta por cento).;Art. 237;Uniforme nacional (referància);60;60;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art237
011;Tributaá∆o com al°quotas uniformes reduzidas em 60%;011003;Intermediaá∆o de planos de assistància Ö sa£de;Intermediaá∆o de planos de assistància Ö sa£de, observado o art. 240 da Lei Complementar nß 214, de 2025.;Art. 240. Os serviáos de intermediaá∆o de planos de assistància Ö sa£de ficam sujeitos Ö incidància do IBS e da CBS sobre o valor da operaá∆o pela mesma al°quota aplic†vel ao plano de assistància Ö sa£de.;Art. 240;Uniforme nacional (referància);60;60;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art240
011;Tributaá∆o com al°quotas uniformes;011004;Concursos e progn¢sticos;Concursos e progn¢sticos, observado o art. 246 da Lei Complementar nß 214, de 2025.;Art. 246. As al°quotas do IBS e da CBS sobre concursos de progn¢sticos s∆o nacionalmente uniformes e correspondem Ö soma das al°quotas de referància das esferas federativas.;Art. 246;Uniforme nacional (referància);0;0;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art246
011;Tributaá∆o com al°quotas uniformes reduzidas em 30%;011005;Planos de assistància Ö sa£de de animais domÇsticos;Planos de assistància Ö sa£de de animais domÇsticos, observado o art. 243 da Lei Complementar nß 214, de 2025.;Art. 243. Os planos de assistància Ö sa£de de animais domÇsticos ficam sujeitos ao disposto nos arts. 234 a 242 desta Lei Complementar, com exceá∆o das al°quotas aplic†veis, que ser∆o nacionalmente uniformes e corresponder∆o Ö soma das al°quotas de referància de cada esfera federativa, reduzidas em 30% (trinta por cento), vedado o crÇdito ao adquirente.;Art. 243;Uniforme nacional (referància);30;30;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art243
200;Al°quota zero;200001;Aquisiá‰es realizadas entre empresas autorizadas a operar em zonas de processamento de exportaá∆o;Aquisiá‰es de m†quinas, de aparelhos, de instrumentos, de equipamentos, de matÇrias-primas, de produtos intermedi†rios e de materiais de embalagem realizadas entre empresas autorizadas a operar em zonas de processamento de exportaá∆o, observado o art. 103 da Lei Complementar nß 214, de 2025.;"Art. 103. Ficam reduzidas a zero as al°quotas do IBS e da CBS incidentes sobre os serviáos de transporte:
 I - dos bens de que tratam os arts. 99 e 100 desta Lei Complementar, atÇ as zonas de processamento de exportaá∆o; e
 II - dos bens exportados a partir das zonas de processamento de exportaá∆o.";Art. 103;Padr∆o;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art103
