"";;"VALENTINI COMERCIO DE CALCADOS EIRELI LTDA";;;;;;"RELATÓRIO DE ESTOQUES POR GRADE";;;;;;;;;;;;;;"DATA:";"27/08/2014";;;
;;"89190-000  TAIO  SC";"";;;"SITUAÇÃO EM 27 DE AGOSTO DE 2014";;;;;;;;;;"PÁG.:";"1";
;;" Filiais: '1'";;;
"REFERÊNCIA/DESCRIÇÃO";;;;"";;;"UNIDADE";;"TAMANHOS";;;"";;;;;;;;;;;;;;;;"TOTALESTOQUE";"VALORFINANCEIRO";"CUSTOMÉDIO";;;;"";
"";;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FORNECEDOR: 62 - ADDER - J.CORREA";;;;;;;;;
"292389 - ADDER BOTA 501";;;;;;;;"UN";"37";"39";"41";"42";"";"";"";;"";"";;"";"";"";;"";"";"";"";
"";;"TAUPE";;;;;;;"1";"1";"11";"1";"";"";"";;"";"";;"";"";"";;"";"";"";"";"14";"276,34";;"19,74";;;"";
"291554 - ADDER TENIS SKATE MASCULINO";;;;;;;;"UN";"36";"37";"39";"41";"42";"43";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"BRANCO";;;;;;;"";"1";"";"";"1";"";"";;"";"";;"";"";"";;"";"";"";"";"2";"120,87";;"60,44";;;"";
"";;"PRETO";;;;;;;"1";"";"1";"1";"";"";"";;"";"";;"";"";"";;"";"";"";"";"3";"115,48";;"38,49";;;"";
"";;"TAUPE";;;;;;;"";"";"1";"";"1";"1";"";;"";"";;"";"";"";;"";"";"";"";"3";"161,16";;"53,72";;;"";
"Total do Produto";;;"1";"1";"2";"1";"2";"1";"";;"";"";;"";"";"";;"";"";"";"";"8";"397,51";;"49,69";;;
"";;;;;"Total Fornecedor";;;;"2";"2";"13";"2";"2";"1";"";;"";"";;"";"";"";;"";"";"";"";"22";"673,85";;"30,63";;;"";
"FORNECEDOR: 590 - ALPARGATAS HAVAINAS";;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;
"295324 - MIZUNO CREATION 14";;;;;;;;"PR";"34";"37";"38";"39";"40";"";"";;"";"";;"";"";"";;"";"";"";"";
"";;"CINZA";;;;;;;"1";"1";"1";"1";"1";"";"";;"";"";;"";"";"";;"";"";"";"";"5";"294,89";;"58,98";;;"";
"";;;;;"Total Fornecedor";;;;"1";"1";"1";"1";"1";"";"";;"";"";;"";"";"";;"";"";"";"";"5";"294,89";;"58,98";;;"";
"FORNECEDOR: 555 - ALPARGATAS MIZUNO ";;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;
"293378 - MIZUNO CREATION 13";;;;;;;;"PR";"37";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";
"";;"PRETO";;;;;;;"1";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"1";"272,19";;"272,19";;;"";
"296080 - MIZUNO CREATION 15";;;;;;;;"UN";"33";"37";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"ROSA";;;;;;;"1";"1";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"2";"324,95";;"162,47";;;"";
"295326 - MIZUNO CRUSADER 7/ 8";;;;;;;;"PR";"34";"35";"36";"37";"38";"39";"40";;"41";"42";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"BRANCO";;;;;;;"";"";"";"1";"1";"2";"";;"";"";;"";"";"";;"";"";"";"";"4";"0,00";;"0,00";;;"";
"";;"CINZA";;;;;;;"1";"1";"1";"1";"1";"1";"";;"";"";;"";"";"";;"";"";"";"";"6";"0,00";;"0,00";;;"";
"";;"PRATA";;;;;;;"";"";"";"14";"";"";"1";;"1";"1";;"";"";"";;"";"";"";"";"17";"1.254,08";;"73,77";;;"";
"Total do Produto";;;"1";"1";"1";"16";"2";"3";"1";;"1";"1";;"";"";"";;"";"";"";"";"27";"1.254,08";;"46,45";;;
"293708 - MIZUNO FRONTIER 6";;;;;;;;"PR";"33";"37";"38";"39";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"CINZA";;;;;;;"";"1";"1";"1";"";"";"";;"";"";;"";"";"";;"";"";"";"";"3";"0,00";;"0,00";;;"";
"";;"PRATA";;;;;;;"9";"";"2";"1";"";"";"";;"";"";;"";"";"";;"";"";"";"";"12";"1.647,68";;"137,31";;;"";
"Total do Produto";;;"9";"1";"3";"2";"";"";"";;"";"";;"";"";"";;"";"";"";"";"15";"1.647,68";;"109,85";;;
"295080 - MIZUNO LASER";;;;;;;;"PR";"33";"34";"35";"36";"37";"39";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"PRATA";;;;;;;"5";"1";"1";"1";"1";"1";"";;"";"";;"";"";"";;"";"";"";"";"10";"680,40";;"68,04";;;"";
"292212 - MIZUNO NEXUS";;;;;;;;"PR";"34";"38";"39";"40";"41";"42";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"PRETO";;;;;;;"6";"1";"1";"2";"1";"1";"";;"";"";;"";"";"";;"";"";"";"";"12";"100,02";;"8,33";;;"";
"292319 - MIZUNO NITRON";;;;;;;;"UN";"43";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"BRANCO";;;;;;;"2";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"2";"180,00";;"90,00";;;"";
"292735 - MIZUNO OVATION ";;;;;;;;"PR";"33";"34";"35";"36";"37";"38";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"CINZA";;;;;;;"5";"1";"1";"1";"1";"1";"";;"";"";;"";"";"";;"";"";"";"";"10";"629,80";;"62,98";;;"";
"296150 - MIZUNO RESOLUTE 2";;;;;;;;"UN";"37";"39";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"BRANCO";;;;;;;"1";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"1";"114,95";;"114,95";;;"";
"";;"CINZA";;;;;;;"";"1";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"1";"0,00";;"0,00";;;"";
"Total do Produto";;;"1";"1";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"2";"114,95";;"57,48";;;
"TecSoft - Tecnologia em Sistemas";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";;"VALENTINI COMERCIO DE CALCADOS EIRELI LTDA";;;;;;"RELATÓRIO DE ESTOQUES POR GRADE";;;;;;;;;;;;;;"DATA:";"27/08/2014";;;
;;"89190-000  TAIO  SC";"";;;"SITUAÇÃO EM 27 DE AGOSTO DE 2014";;;;;;;;;;"PÁG.:";"2";
;;" Filiais: '1'";;;
"REFERÊNCIA/DESCRIÇÃO";;;;"";;;"UNIDADE";;"TAMANHOS";;;"";;;;;;;;;;;;;;;;"TOTALESTOQUE";"VALORFINANCEIRO";"CUSTOMÉDIO";;;;"";
"";;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"294446 - MIZUNO ULTIMA";;;;;;;;"PR";"36";"37";"38";"39";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"CINZA";;;;;;;"1";"1";"1";"1";"";"";"";;"";"";;"";"";"";;"";"";"";"";"4";"189,94";;"47,48";;;"";
"293627 - MIZUNO VITALITY 2";;;;;;;;"UN";"37";"38";"40";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"AZUL";;;;;;;"";"2";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"2";"0,00";;"0,00";;;"";
"";;"BRANCO";;;;;;;"3";"";"1";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"4";"309,59";;"77,40";;;"";
"Total do Produto";;;"3";"2";"1";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"6";"309,59";;"51,60";;;
"291164 - MIZUNO WAVE NIRVANA";;;;;;;;"UN";"33";"36";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"CINZA";;;;;;;"1";"1";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"2";"250,00";;"125,00";;;"";
"";;;;;"Total Fornecedor";;;;"36";"11";"9";"23";"5";"6";"1";;"1";"1";;"";"";"";;"";"";"";"";"93";"5.953,60";;"64,02";;;"";
"FORNECEDOR: 532 - ANDACCO FABRICA DE CALCADOS CACIQUELTDA";;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;
"296285 - ANDACCO SAPATILHA MASC";;;;;;;;"UN";"37";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";
"";;"CAFé";;;;;;;"5";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"5";"360,00";;"72,00";;;"";
"";;;;;"Total Fornecedor";;;;"5";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"5";"360,00";;"72,00";;;"";
"FORNECEDOR: 938 - ASICS BRASIL DIST COM DE ART ESP LTDA";;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;
"296260 - ASICS GEL CONTEND 2 LIGHT";;;;;;;;"PR";"33";"35";"36";"37";"38";"39";"";;"";"";;"";"";"";;"";"";"";"";
"";;"AZUL";;;;;;;"5";"1";"1";"1";"1";"1";"";;"";"";;"";"";"";;"";"";"";"";"10";"499,75";;"49,98";;;"";
"296079 - ASICS GEL PULSE 5";;;;;;;;"PR";"33";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"AZUL";;;;;;;"1";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"1";"149,95";;"149,95";;;"";
"296151 - OASICS PATRIOT 6";;;;;;;;"UN";"33";"39";"40";"41";"42";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"BRANCO";;;;;;;"4";"1";"1";"1";"1";"";"";;"";"";;"";"";"";;"";"";"";"";"8";"359,80";;"44,98";;;"";
"296096 - OASICS T3A3N.9001-T3A8N.4801";;;;;;;;"PR";"34";"35";"36";"38";"39";"41";"42";;"43";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"AZUL";;;;;;;"8";"1";"1";"1";"1";"";"";;"";"";;"";"";"";;"";"";"";"";"12";"999,60";;"83,30";;;"";
"";;"PRETO";;;;;;;"";"";"";"1";"";"1";"1";;"1";"";;"";"";"";;"";"";"";"";"4";"0,00";;"0,00";;;"";
"Total do Produto";;;"8";"1";"1";"2";"1";"1";"1";;"1";"";;"";"";"";;"";"";"";"";"16";"999,60";;"62,48";;;
"";;;;;"Total Fornecedor";;;;"18";"3";"3";"4";"3";"2";"1";;"1";"";;"";"";"";;"";"";"";"";"35";"2.009,10";;"57,40";;;"";
"FORNECEDOR: 947 - BOXION";;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;
"296252 - BOXION SAPATENIS";;;;;;;;"UN";"36";"42";"43";"44";"";"";"";;"";"";;"";"";"";;"";"";"";"";
"";;"CAFé";;;;;;;"1";"1";"1";"1";"";"";"";;"";"";;"";"";"";;"";"";"";"";"4";"103,56";;"25,89";;;"";
"";;"CINZA";;;;;;;"1";"2";"2";"2";"";"";"";;"";"";;"";"";"";;"";"";"";"";"7";"172,25";;"24,61";;;"";
"Total do Produto";;;"2";"3";"3";"3";"";"";"";;"";"";;"";"";"";;"";"";"";"";"11";"275,81";;"25,07";;;
"";;;;;"Total Fornecedor";;;;"2";"3";"3";"3";"";"";"";;"";"";;"";"";"";;"";"";"";"";"11";"275,81";;"25,07";;;"";
"FORNECEDOR: 448 - CALCADOS PERENTE LTDA";;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;
"296148 - DI PERENTTI SAP 193/ 195/ 6001";;;;;;;;"UN";"38";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";
"";;"CONHAQUE";;;;;;;"3";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"3";"179,76";;"59,92";;;"";
"";;;;;"Total Fornecedor";;;;"3";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"3";"179,76";;"59,92";;;"";
