1082514282000100250234947     UNIANDRA COMERCIO DE ARTIGOS DE VESFLORIANOPOLIS                 SC48322491792019050120190531331
11RUA ESTEVES JUNIOR                00001                      CENTRO         88015130NOME DO CONTADOR            004832249179
5082514282000371258508205     20190502SC551  0014551152T000000009016500000000000000000000000000000000000000000000000901650000N
5082514282000371258508205     20190502SC551  0014561152T000000000570000000000000000000000000000000000000000000000000057000000N
5082514282000371258508205     20190502SC551  0014541152T000000001302000000000000000000000000000000000000000000000000130200000N
5082514282000371258508205     20190502SC551  0014571152T000000001478000000000000000000000000000000000000000000000000147800000N
5082514282000371258508205     20190502SC551  0014591152T000000002600000000000000000000000000000000000000000000000000260000000N
5082514282000371258508205     20190502SC551  0014611152T000000015181000000000000000000000000000000000000000000000001518100000N
5082514282000371258508205     20190502SC551  0014601152T000000000240000000000000000000000000000000000000000000000000024000000N
5082514282000371258508205     20190502SC551  0014661152T000000056994400000000000000000000000000000000000000000000005699440000N
5082514282000290255918461     20190502SC552  0050661152T000000000553000000000000000000000000000000000000000000000000055300000N
5082514282000371258508205     20190502SC551  0014701152T000000000849000000000000000000000000000000000000000000000000084900000N
5000024530131904ISENTO        20190502SC552  0089631201P000000000619000000000000000000000000000000000000000000000000061900000N
5000024530131904ISENTO        20190502SC552  0089641201P000000000619000000000000000000000000000000000000000000000000061900000N
5000094934835920ISENTO        20190502SC552  0089651201P000000001299000000000000000000000000000000000000000000000000129900000N
5019534380000172ISENTO        20190502SC552  0089671201P000000000799000000000000000000000000000000000000000000000000079900000N
5005517983000151254596231     20190502SC552  0089665929P000000002336100000000000000000000000000000000000000000000000233611200N
5000005363898705ISENTO        20190502SC552  0089185929P000000002148000000000000000000000000000000000000000000000000214801700N
5005517983000151254596231     20190502SC552  0089665929P000000012211400000000000000000000000000000000000000000000001221141700N
5082514282000371258508205     20190503SC551  0014741152T000000002137000000000000000000000000000000000000000000000000213700000N
5000003590725931ISENTO        20190503SC552  0089681201P000000000535000000000000000000000000000000000000000000000000053500000N
5000003116153922ISENTO        20190503SC552  0089691201P000000001938000000000000000000000000000000000000000000000000193800000N
5000080383610087ISENTO        20190503SC552  0089731201P000000001636000000000000000000000000000000000000000000000000163600000N
5083805176000148250697378     20190503SC552  0089725101P000000012614300000000000000000000000000000000000000000000001261431700N
5082514282000290255918461     20190503SC552  0089705151P000000001304000000000000000000000000000000000000000000000000130401700N
5082514282000290255918461     20190503SC552  0089715151P000000000399000000000000000000000000000000000000000000000000039901700N
5000092382207949ISENTO        20190504SC552  0089741201P000000000898000000000000000000000000000000000000000000000000089800000N
5000053644360049ISENTO        20190504SC552  0089751201P000000000929000000000000000000000000000000000000000000000000092900000N
5082514282000371258508205     20190506SC551  0014761152T000000007620000000000000000000000000000000000000000000000000762000000N
5082514282000371258508205     20190506SC551  0014771152T000000007200000000000000000000000000000000000000000000000000720000000N
5000043258166900ISENTO        20190506SC552  0089791201P000000000940000000000000000000000000000000000000000000000000094000000N
5000524445000170253063817     20190506SC552  0089815101P000000026585000000000000000000000000000000000000000000000002658501700N
