 select * from pedidosfiliais_log where dadofiscal in (1080166,1080800) order by dadofiscal,trigger_id;

 codigo | produto |        data         |      hora       | requisitante | requisitada | qtdepedida | qtderecebida | situacao | dadofiscal | observacao | lotetransferencia | trigger_mode | trigger_tuple |        trigger_changed        | trigger_user | trigger_id 
--------+---------+---------------------+-----------------+--------------+-------------+------------+--------------+----------+------------+------------+-------------------+--------------+---------------+-------------------------------+--------------+------------
  50680 | 1004406 | 2018-01-24 08:19:58 | 08:08:35.944429 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | INSERT       | NEW           | 2018-01-24 08:08:35.944429-02 | producao1    |       8511
  50681 |   17893 | 2018-01-24 08:19:58 | 08:08:35.944429 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | INSERT       | NEW           | 2018-01-24 08:08:35.944429-02 | producao1    |       8512
  50682 |   23375 | 2018-01-24 08:19:58 | 08:08:35.944429 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | INSERT       | NEW           | 2018-01-24 08:08:35.944429-02 | producao1    |       8513
  50683 |   11010 | 2018-01-24 08:19:58 | 08:08:35.944429 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | INSERT       | NEW           | 2018-01-24 08:08:35.944429-02 | producao1    |       8514
  50684 | 1071005 | 2018-01-24 08:19:58 | 08:08:35.944429 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | INSERT       | NEW           | 2018-01-24 08:08:35.944429-02 | producao1    |       8515
  50685 | 1004406 | 2018-01-24 08:25:16 | 08:20:05.340839 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | INSERT       | NEW           | 2018-01-24 08:20:05.340839-02 | producao1    |       8516
  50686 |   17893 | 2018-01-24 08:25:16 | 08:20:05.340839 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | INSERT       | NEW           | 2018-01-24 08:20:05.340839-02 | producao1    |       8517
  50687 |   23375 | 2018-01-24 08:25:16 | 08:20:05.340839 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | INSERT       | NEW           | 2018-01-24 08:20:05.340839-02 | producao1    |       8518
  50688 |   11010 | 2018-01-24 08:25:16 | 08:20:05.340839 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | INSERT       | NEW           | 2018-01-24 08:20:05.340839-02 | producao1    |       8519
  50689 | 1071005 | 2018-01-24 08:25:16 | 08:20:05.340839 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | INSERT       | NEW           | 2018-01-24 08:20:05.340839-02 | producao1    |       8520
  50685 | 1004406 | 2018-01-24 08:25:16 | 08:20:05.340839 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | DELETE       | OLD           | 2018-02-05 10:12:56.578696-02 | tecsoft      |       9897
  50686 |   17893 | 2018-01-24 08:25:16 | 08:20:05.340839 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | DELETE       | OLD           | 2018-02-05 10:12:56.578696-02 | tecsoft      |       9898
  50687 |   23375 | 2018-01-24 08:25:16 | 08:20:05.340839 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | DELETE       | OLD           | 2018-02-05 10:12:56.578696-02 | tecsoft      |       9899
  50688 |   11010 | 2018-01-24 08:25:16 | 08:20:05.340839 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | DELETE       | OLD           | 2018-02-05 10:12:56.578696-02 | tecsoft      |       9900
  50689 | 1071005 | 2018-01-24 08:25:16 | 08:20:05.340839 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | DELETE       | OLD           | 2018-02-05 10:12:56.578696-02 | tecsoft      |       9901
  50684 | 1071005 | 2018-01-24 08:19:58 | 08:08:35.944429 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | UPDATE       | OLD           | 2018-02-05 10:22:29.926503-02 | tecsoft      |      10120
  50684 | 1071005 | 2018-01-24 08:19:58 | 08:08:35.944429 |            2 |           3 |      5.000 |        5.000 | D        |    1080166 |            |                   | UPDATE       | NEW           | 2018-02-05 10:22:29.926503-02 | tecsoft      |      10121
  50683 |   11010 | 2018-01-24 08:19:58 | 08:08:35.944429 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | UPDATE       | OLD           | 2018-02-05 10:22:29.926503-02 | tecsoft      |      10122
  50683 |   11010 | 2018-01-24 08:19:58 | 08:08:35.944429 |            2 |           3 |      5.000 |        5.000 | D        |    1080166 |            |                   | UPDATE       | NEW           | 2018-02-05 10:22:29.926503-02 | tecsoft      |      10123
  50682 |   23375 | 2018-01-24 08:19:58 | 08:08:35.944429 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | UPDATE       | OLD           | 2018-02-05 10:22:29.926503-02 | tecsoft      |      10124
  50682 |   23375 | 2018-01-24 08:19:58 | 08:08:35.944429 |            2 |           3 |      5.000 |        5.000 | D        |    1080166 |            |                   | UPDATE       | NEW           | 2018-02-05 10:22:29.926503-02 | tecsoft      |      10125
  50681 |   17893 | 2018-01-24 08:19:58 | 08:08:35.944429 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | UPDATE       | OLD           | 2018-02-05 10:22:29.926503-02 | tecsoft      |      10126
  50681 |   17893 | 2018-01-24 08:19:58 | 08:08:35.944429 |            2 |           3 |      5.000 |        5.000 | D        |    1080166 |            |                   | UPDATE       | NEW           | 2018-02-05 10:22:29.926503-02 | tecsoft      |      10127
  50680 | 1004406 | 2018-01-24 08:19:58 | 08:08:35.944429 |            2 |           3 |      5.000 |        5.000 | F        |    1080166 |            |                   | UPDATE       | OLD           | 2018-02-05 10:22:29.926503-02 | tecsoft      |      10128
  50680 | 1004406 | 2018-01-24 08:19:58 | 08:08:35.944429 |            2 |           3 |      5.000 |        5.000 | D        |    1080166 |            |                   | UPDATE       | NEW           | 2018-02-05 10:22:29.926503-02 | tecsoft      |      10129
  51349 | 1118802 | 2018-02-05 08:21:49 | 08:15:53.36836  |            2 |           3 |      9.000 |        9.000 | F        |    1080800 |            |                   | INSERT       | NEW           | 2018-02-05 08:15:53.36836-02  | producao1    |       9756
  51350 | 1118804 | 2018-02-05 08:21:49 | 08:15:53.36836  |            2 |           3 |      2.000 |        2.000 | F        |    1080800 |            |                   | INSERT       | NEW           | 2018-02-05 08:15:53.36836-02  | producao1    |       9757
  51351 | 1118803 | 2018-02-05 08:21:49 | 08:15:53.36836  |            2 |           3 |      3.000 |        3.000 | F        |    1080800 |            |                   | INSERT       | NEW           | 2018-02-05 08:15:53.36836-02  | producao1    |       9758
  51352 | 1118801 | 2018-02-05 08:21:49 | 08:15:53.36836  |            2 |           3 |     10.000 |       10.000 | F        |    1080800 |            |                   | INSERT       | NEW           | 2018-02-05 08:15:53.36836-02  | producao1    |       9759
